city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Ahmedabad,30-11-2020,5,520.71,2.38,16.28,130.18,47.68,65.96,72.13,8.36
Ahmedabad,01-12-2020,5,1682.28,7.71,54.84,0.73,21.7,120.95,154.53,27.36
Ahmedabad,02-12-2020,5,1815.8,16.54,49.35,0.17,23.84,133.47,172.63,28.12
Ahmedabad,03-12-2020,5,2296.45,41.57,40.1,0,35.76,150.37,202.15,36.48
Ahmedabad,04-12-2020,5,2189.64,23.92,58.95,0.02,28.13,160.79,205.8,40.53
Aizawl,27-02-2021,5,383.85,0.03,5.74,7.15,0.86,118.1,129.19,1.47
Aizawl,28-02-2021,5,337.12,0,3.34,29.68,1.77,102.15,108.92,0.75
Aizawl,01-03-2021,5,310.42,0,3.13,18.42,0.71,70.17,77.97,1.19
Aizawl,02-03-2021,5,383.85,0.03,4.63,6.44,0.77,90.79,101.85,1.85
Aizawl,03-03-2021,5,467.3,0,16.11,8.85,4.71,69.9,92.34,11.15
Amaravati,28-05-2021,3,317.1,0,6.68,72.96,7.39,19.86,43.27,8.61
Amaravati,29-05-2021,3,473.98,0,11.65,53.64,14.31,24.68,34.24,11.15
Amaravati,30-05-2021,4,494,0,9.6,67.95,8.46,26.52,34.67,11.27
Amaravati,31-05-2021,4,410.56,0,6.86,72.96,6.8,26.03,33.4,10.01
Amaravati,01-06-2021,5,894.55,0.02,21.59,17.17,10.73,60.6,82.52,19.51
Amritsar,21-03-2022,5,1295.09,0.01,38.39,25.39,16.69,109.82,135.18,73.97
Amritsar,22-03-2022,5,1054.76,0,17.31,52.93,5.78,120.46,160.47,36.98
Amritsar,23-03-2022,5,3257.75,26.82,47.98,0,8.82,248.72,339.61,80.05
Amritsar,24-03-2022,5,640.87,0,9.25,97.27,6.85,69.12,87.37,26.09
Amritsar,25-03-2022,5,1869.2,2.85,57.58,1.04,10.73,149.19,212.05,103.35
Bengaluru,22-10-2022,3,794.41,5.31,26.73,0.87,5.96,20.4,24.29,2.47
Bengaluru,23-10-2022,5,907.9,0,16.28,64.37,3.55,96.31,102.64,1.65
Bengaluru,24-10-2022,5,614.17,0,18.16,41.84,4.77,79.23,89.27,4.56
Bengaluru,25-10-2022,5,520.71,0,19.36,82.97,10.85,57.94,69.89,6.14
Bengaluru,26-10-2022,5,1228.33,7.49,56.21,1.56,7.03,91.12,112.99,4.62
Bhopal,26-01-2023,5,2964.02,25.7,67.17,0,31.95,180.08,192.71,58.26
Bhopal,27-01-2023,3,647.54,0,7.03,56.51,6.56,37.24,39.19,2.56
Bhopal,28-01-2023,5,594.14,0,7.45,52.93,3.99,78.3,83.8,3.99
Bhopal,29-01-2023,3,473.98,0,8.31,35.41,3.4,41.98,46.45,8.49
Bhopal,30-01-2023,4,480.65,0,5.83,60.8,7.33,68.8,73.7,12.29
Brajrajnagar,06-08-2021,2,327.11,0,4.07,31.83,2.44,14.17,15.41,2.09
Brajrajnagar,07-08-2021,4,377.18,0,4.8,37.55,1.62,26.59,28.9,3.1
Brajrajnagar,08-08-2021,2,383.85,0,5.06,29.33,2.06,18.87,20.54,3.58
Brajrajnagar,10-08-2021,2,367.17,0,3.9,33.98,1.51,13.49,15.2,3.01
Chandigarh,01-03-2021,5,734.33,0.01,37.7,30.4,5.84,54.62,85.2,25.33
Chandigarh,02-03-2021,4,460.63,0,10.97,105.86,6.97,38.81,50.45,14.95
Chandigarh,03-03-2021,5,600.82,0,12.17,108.72,8.82,59.64,70.61,17.99
Chandigarh,04-03-2021,5,834.47,0,28.1,52.21,5.66,89.09,111.81,22.04
Chandigarh,05-03-2021,5,707.63,0,26.39,50.78,7.87,55.15,79.13,21.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Coimbatore,21-05-2023,2,353.81,0,7.03,30.76,5.25,15.74,25.01,1.71
Coimbatore,22-05-2023,1,403.88,0.01,10.8,15.2,7.03,7.94,10.25,2.06
Coimbatore,23-05-2023,2,494,0,10.71,38.98,8.7,21.19,26.59,2.41
Coimbatore,24-05-2023,1,343.8,0,7.28,33.62,5.42,5.94,8.15,1.36
